"fips","state","densityMi","pop2024","pop2023","pop2020","pop2019","pop2010","growthRate","growth","growthSince2010","WindiestStatesAverageWindSpeedMPH","MeanWindSpeed328ft","MeanWindPower328ft","MeanWindSpeed33ft"
"25","Massachusetts",893.14641,6966542,6974258,6995729,6950919,6547629,-0.00111,-7716,0.06398,15.76,18.4,631,11.7
"26","Michigan",177.35246,10027331,10030722,10069577,10050983.3,9883640,-0.00034,-3391,0.01454,17.5,20.9,880,16.3
"27","Minnesota",71.94306,5728610,5722897,5709852,5669259.3,5303925,0.001,5713,0.08007,18.51,18.9,592,12.4
"28","Mississippi",62.2509,2920999,2930528,2958141,2959056.6,2967297,-0.00325,-9529,-0.0156,15.19,15.4,325,9
"29","Missouri",90.1083,6194225,6186091,6153998,6137490.9,5988927,0.00131,8134,0.03428,19.31,18.8,541,11.3
"30","Montana",7.94352,1156147,1139507,1087075,1077309,989415,0.0146,16640,0.16852,21.03,20.5,985,13.5
"31","Nebraska",25.72973,1976661,1972292,1962642,1949011.9,1826341,0.00222,4369,0.08231,18.51,20.5,692,12.9
"32","Nevada",29.51797,3240512,3209142,3115648,3074138.3,2700551,0.00978,31370,0.19994,17.43,15.6,445,9.8
"33","New Hampshire",157.5654,1410683,1402957,1378587,1372375.3,1316470,0.00551,7726,0.07156,17.13,17.7,690,9.1
"34","New Jersey",1257.70669,9249175,9255437,9271689,9223709.5,8791894,-0.00068,-6262,0.05201,14.33,17.2,474,10.8
"35","New Mexico",17.36779,2106678,2110011,2118390,2112468.9,2059179,-0.00158,-3333,0.02307,17.82,19.2,560,11.8
"36","New York",409.88985,19316469,19496810,20108296,20035276.6,19378102,-0.00925,-180341,-0.00318,15.57,19.1,705,13.8
"37","North Carolina",225.53682,10965149,10832061,10449445,10358048.8,9535483,0.01229,133088,0.14993,17.99,16.7,501,10.1
"38","North Dakota",11.33194,781915,780588,779518,768825.3,672591,0.0017,1327,0.16254,18.8,19.6,660,12.3
"39","Ohio",287.30305,11739490,11747774,11797517,11771415.7,11536504,-0.00071,-8284,0.0176,16.16,19.4,740,15
"40","Oklahoma",59.43509,4076950,4048375,3964912,3943555.9,3751351,0.00706,28575,0.0868,16.46,20.2,683,12.5
"41","Oregon",43.83682,4207809,4223973,4244795,4203422.9,3831074,-0.00383,-16164,0.09834,16.39,16.2,523,9.9
"42","Pennsylvania",288.13236,12891906,12931957,12994440,12965233.9,12702379,-0.0031,-40051,0.01492,17.42,17.1,489,9.4
"44","Rhode Island",1051.48162,1087232,1090483,1096345,1091967.2,1052567,-0.00298,-3251,0.03293,14.91,18.1,572,12
"45","South Carolina",181.67626,5461370,5372002,5131848,5081199.6,4625364,0.01664,89368,0.18074,15.88,14.9,301,9.1
"46","South Dakota",12.36158,937144,923484,887799,880437.1,814180,0.01479,13660,0.15103,21.32,20.3,722,12.8
"47","Tennessee",175.02886,7217315,7134327,6925619,6867667.6,6346105,0.01163,82988,0.13728,17.43,16.2,447,9.6
"48","Texas",118.5574,30970988,30500280,29232474,28823782.7,25145561,0.01543,470708,0.23167,15.55,19.2,553,11.7
"49","Utah",42.15862,3464174,3422487,3283785,3231795,2763885,0.01218,41687,0.25337,18.26,15.6,431,9.7
"50","Vermont",70.22328,647248,647156,642893,641177.8,625741,0.00014,92,0.03437,18.07,17.7,610,10.7
"51","Virginia",221.22378,8736127,8709873,8636471,8572926.3,8001024,0.00301,26254,0.09188,19.32,17.2,567,10.3
"53","Washington",118.51252,7875868,7830827,7724031,7624081.9,6724540,0.00575,45041,0.17121,15.03,17,686,11.3
"54","West Virginia",72.98511,1754416,1764786,1791420,1797577.4,1852994,-0.00588,-10370,-0.0532,18.72,17,583,9.6
"55","Wisconsin",109.26207,5917415,5904977,5896271,5875342.5,5686986,0.00211,12438,0.04052,18.4,20.2,807,15.7
"56","Wyoming",6.02697,585177,583279,577605,576207.1,563626,0.00325,1898,0.03824,20.88,21.5,964,14.1
